binomial,CYTB,COI,ND1,ND2,12S,16S,FGB,MUSK,ODC,RAG1,TGFB2,ZENK
Dryocopus pileatus,U83287.1,AY942872.1,,DQ479187.1,AY940751.1,,KC813201.1,KC813443.1,,,KC813475.1,EU738942.1
Eudromia elegans,AY274028.1,JN801652.1,AY274049.1,AY274049.1,AY274002.1,AY274049.1,,EU739747.1,,,EU737311.1,
Falcipennis canadensis,AF170992.1,DQ433637.1,,DQ307006.1,KC749454.1,AF230132.1,DQ306966.1,,,,KU094665.1,
Falco columbarius,EU233051.1,AY666522.1,KM876094.1,KM876094.1,AB219558.1,,,,,KM876356.1,KM876549.1,AF490155.1
Falco jugger,EU233073.1,,KM875998.1,KM875998.1,,,,,,EU233193.1,,
Falco mexicanus,EU233076.1,AY666553.2,KM876046.1,KM876046.1,,,,EU739809.1,,EF078767.1,KM876495.1,
Falco peregrinus ,KP863030.1,KT803629.1,KM876092.1,EU327624.1,AB219556.1,,,,,KM876416.1,KM876547.1,
Falco rusticolus,EU233108.1,GU571390.1,KM876060.1,KX534744.1,,,,,,KM876363.1,KX534619.1,
Falco sparverius ,U83306.1,JQ627346.1,KM876086.1,KM876086.1,,JQ627249.1,AY695162.1,,,KM876382.1,KM876540.1,
Falco tinnunculus,EU233128.1,GQ481882.1,KM876095.1,KM876095.1,AB219557.1,EU144040.1,,,,KM876385.1,KM876550.1,
Forpus coelestis,JX877285.1,,,JX877381.1,,,,,JX877018.1,,,
Fratercula cirrhata,KX534440.1,EU525406.1,,KX534741.1,EF380309.1,EF380291.1,,,,EF380273.1,KX534612.1,
Fregata magnificens,KP724915.1,JQ174868.1,,KP724960.1,AF173576.1,AF173576.1,DQ881957.1,EU739810.1,DQ881735.1,DQ881808.1,EU737379.1,
Fulica americana,EU167019.1,DQ433649.1,EU166956.1,EU166956.1,EU167074.1,DQ485863.1,AY695244.1,,,KC613923.1,,
Fulmarus glacialis,KX534438.1,KC755537.1,,KX534739.1,,,DQ881958.1,,DQ881736.1,DQ881809.1,KX534610.1,
Gallinago gallinago,FJ787310.1,JF499134.1,,EF373240.1,DQ674576.1,DQ674614.1,,,,AY228775.1,,
Gallus gallus,KX534431.1,JF498862.1,AB753758.1,KX534729.1,KP234022.1,AB489247.1,AY082425.1,,,AF143730.1,EU737320.1,AF026082.1
Garrulus glandarius,AB242559.1,GU571414.1,,KY495260.1,EF027310.1,,KY495272.1,KU718652.1,KJ455799.1,,KY492666.1,
Gavia immer,HQ864537.1,GU571420.1,EU166950.1,KX534742.1,EU167047.1,L33375.1,AY695223.1,EU739814.1,,KT954386.1,KX534613.1,EU738953.1
Gavia pacifica,EU166995.1,DQ433669.1,EU166952.1,EU166952.1,EU167049.1,U88009.1,,,,,,
Gavia stellata,EU166996.1,AY666477.1,EU166953.1,EU166953.1,LC104776.1,L33377.1,,KY763579.1,,,KY763478.1,AF490163.1
Geopelia cuneata,AF483317.1,,,KC484595.1,AF483280.1,,KC484618.1,,,,,
Glaucidium gnoma,AJ003994.1,JQ174940.1,,,,,,,,EU348897.1,EU600972.1,
Gymnogyps californianus,U08947.1,JN801319.1,,KX534718.1,AF173574.1,AF173574.1,,,,,KX534589.1,
Gyps africanus,EU496414.1,KX012838.1,,AY987082.1,,,AY987182.1,,,EU496472.1,,
Haemorhous mexicanus,FJ266269.1,KX214582.1,,KC292816.1,AF447220.1,KX109615.1,,KC292792.1,KX109737.1,KM112999.1,KM112595.1,
Haliaeetus leucocephalus,GQ264819.1,DQ433683.1,,AY987138.1,U83722.1,GQ264658.1,AY987215.1,,,EF078731.1,,
Haliaeetus pelagicus,AY987314.1,EF515770.1,,AY987136.1,AB219553.1,,,,,,,
Harpia harpyja,AY987270.1,,,AY987090.1,,,AY987188.1,,,EF078735.1,,
Hirundo rustica,DQ119526.1,DQ434603.1,,HQ333663.1,AB042349.1,AB042382.1,AY827432.1,DQ176591.1,GQ242149.1,AY064271.1,,JN614525.1
Hydroprogne caspia,KC241874.1,EU525430.1,,AY631372.1,DQ674569.1,DQ674607.1,AY695188.1,,,EF373187.1,,
Ixoreus naevius,AY049485.1,AY666567.1,,AY049512.1,EU154488.1,,AY049467.1,,EU154814.1,,KC693135.1,EF568320.1
Junco hyemalis,KC007556.1,HM033520.1,,AF407044.1,AF447238.1,AF202809.1,,,,KC007770.1,,
Larus argentatus,EU526348.1,JF499143.1,,FN543388.1,,FJ465237.1,,,KX522242.1,,,
Larus californicus,FN543334.1,DQ433744.1,,,,,,,KX521956.1,,,
Larus canus,AB208758.1,AY666353.1,,FN543371.1,,,,,JQ710159.1,,,
Larus delawarensis,AY631291.1,AY666493.1,,AY631363.1,AY631327.1,,,,KX522245.1,,,
Larus glaucescens,FJ937779.1,DQ433750.1,,,,,,,,,,
